Song Name,Artists,Released Dates,Popularity,Duration,Album Type,valence,energy,danceability,acousticness,mood,Spotify URL,Cover Image
Best Hindi Motivational Poetry 2022,Kumar Rishi,2022-03-07,32,109898,single,0.44,0.37,0.3,0.77,Reflective / Spoken Word,https://open.spotify.com/search/Best%20Hindi%20Motivational%20Poetry%202022%20Kumar%20Rishi,https://i.scdn.co/image/ab67616d0000b27330e5ad50fda0ab24af437a77
Relation,Nikk,2019-08-30,46,165750,single,0.58,0.5,0.54,0.36,Happy / Upbeat,https://open.spotify.com/search/Relation%20Nikk,https://i.scdn.co/image/ab67616d0000b27353f89966a4fca501360b384e
Temporary pyar,Kaka,2021-09-04,59,245016,single,0.63,0.5,0.48,0.39,Happy / Upbeat,https://open.spotify.com/search/Temporary%20pyar%20Kaka,https://i.scdn.co/image/ab67616d0000b27393a9941be37b24ef10aa49f0
Distance Love,Zehr Vibe,2021-10-08,70,210681,single,0.57,0.45,0.49,0.33,Romantic / Warm,https://open.spotify.com/search/Distance%20Love%20Zehr%20Vibe,https://i.scdn.co/image/ab67616d0000b2736b3733e73fe3d3c903788915
Gal Karke,Inder Chahal,2019-04-15,64,173381,single,0.43,0.47,0.54,0.38,Intense / Angsty,https://open.spotify.com/search/Gal%20Karke%20Inder%20Chahal,https://i.scdn.co/image/ab67616d0000b2735b8b7844099b6160ff4a6a54
Udaarian,Satinder Sartaaj,2019-12-20,31,342648,compilation,0.57,0.45,0.44,0.61,Romantic / Warm,https://open.spotify.com/search/Udaarian%20Satinder%20Sartaaj,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",Shirley Setia,2020-02-05,33,434000,single,0.52,0.47,0.42,0.32,Energetic / Party,https://open.spotify.com/search/Koi%20Vi%20Nahi%2CDasi%20Na%20Mere%20Bare%2CZindagi%2CChoorhey%20wali%20bah%20Shirley%20Setia,https://i.scdn.co/image/ab67616d0000b2738662dd7d918afbc3c9bd178d
Kaash,Nachhatar Gill,2019-12-20,19,213829,compilation,0.47,0.39,0.38,0.39,Melancholic / Heartbroken,https://open.spotify.com/search/Kaash%20Nachhatar%20Gill,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Mob N Love,Prem Dhillon,2022-04-17,42,202422,single,0.54,0.46,0.61,0.35,Energetic / Party,https://open.spotify.com/search/Mob%20N%20Love%20Prem%20Dhillon,https://i.scdn.co/image/ab67616d0000b27351d1e7adbf74abce9795fff6
Mann Bharrya,B Praak,2019-10-22,52,276521,album,0.46,0.42,0.57,0.34,Melancholic / Heartbroken,https://open.spotify.com/search/Mann%20Bharrya%20B%20Praak,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c
Punjabi Valentine Mashup 2022,Sukh-E Muzical Doctorz,2022-02-14,36,290986,single,0.56,0.61,0.74,0.3,Happy / Upbeat,https://open.spotify.com/search/Punjabi%20Valentine%20Mashup%202022%20Sukh-E%20Muzical%20Doctorz,https://i.scdn.co/image/ab67616d0000b273bea487790d872591411addfb
In Love Again,Harman Hundal,2021-02-19,54,236129,single,0.52,0.56,0.62,0.38,Energetic / Party,https://open.spotify.com/search/In%20Love%20Again%20Harman%20Hundal,https://i.scdn.co/image/ab67616d0000b273e08201655340ee940826f336
"Zubaan (From ""Manje Bistre 2"")",Ricky Khan,2019-12-20,18,266866,compilation,0.45,0.33,0.54,0.4,Melancholic / Heartbroken,https://open.spotify.com/search/Zubaan%20%28From%20%22Manje%20Bistre%202%22%29%20Ricky%20Khan,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Silent Love,Davy,2022-01-02,33,152307,single,0.49,0.39,0.6,0.48,Melancholic / Heartbroken,https://open.spotify.com/search/Silent%20Love%20Davy,https://i.scdn.co/image/ab67616d0000b273f61e9c48d60761414096d761
Silent Love,Namr Gill,2015-03-17,44,266370,single,0.44,0.43,0.59,0.37,Melancholic / Heartbroken,https://open.spotify.com/search/Silent%20Love%20Namr%20Gill,https://i.scdn.co/image/ab67616d0000b273ef3a03b0fdf24c33d5ca7983
Zindagi,Amrinder Gill,2016-03-07,45,170666,album,0.51,0.43,0.51,0.36,Mellow / Reflective,https://open.spotify.com/search/Zindagi%20Amrinder%20Gill,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9
Ikk Munda 2 - Waiting For Love,Sheera Jasvir,2021-07-04,39,247884,single,0.66,0.45,0.58,0.35,Romantic / Warm,https://open.spotify.com/search/Ikk%20Munda%202%20-%20Waiting%20For%20Love%20Sheera%20Jasvir,https://i.scdn.co/image/ab67616d0000b2730c3255e6ffbb2a1cfab7dcb3
Vail (feat. Nimrat Khaira & Shree Brar),Mankirt Aulakh,2020-06-08,61,201453,single,0.49,0.4,0.41,0.52,Melancholic / Heartbroken,https://open.spotify.com/search/Vail%20%28feat.%20Nimrat%20Khaira%20%26%20Shree%20Brar%29%20Mankirt%20Aulakh,https://i.scdn.co/image/ab67616d0000b2735ee520df839a8e1958fd3c1b
Rabba Ve,B Praak,2019-05-06,51,210000,album,0.48,0.56,0.44,0.35,Intense / Angsty,https://open.spotify.com/search/Rabba%20Ve%20B%20Praak,https://i.scdn.co/image/ab67616d0000b273328a29d4ec6c76374c480c24
I Need Love,Harman Hundal,2022-03-04,38,179052,single,0.64,0.5,0.47,0.32,Happy / Upbeat,https://open.spotify.com/search/I%20Need%20Love%20Harman%20Hundal,https://i.scdn.co/image/ab67616d0000b273242ec8ebd257cc51f53c4ee8
Darling,Sucha Yaar,2021-11-19,45,139836,single,0.59,0.52,0.54,0.29,Happy / Upbeat,https://open.spotify.com/search/Darling%20Sucha%20Yaar,https://i.scdn.co/image/ab67616d0000b27375a0dff177d596ac666fc1e2
Breakup Mashup,Ammy Virk,2019-08-01,40,239880,single,0.52,0.59,0.56,0.31,Energetic / Party,https://open.spotify.com/search/Breakup%20Mashup%20Ammy%20Virk,https://i.scdn.co/image/ab67616d0000b27363885514c5d8d2e2634549b7
Romantic Love Mashup (Best of love music),Abhishek Rawal,2022-08-07,39,289123,single,0.52,0.63,0.7,0.31,Energetic / Party,https://open.spotify.com/search/Romantic%20Love%20Mashup%20%28Best%20of%20love%20music%29%20Abhishek%20Rawal,https://i.scdn.co/image/ab67616d0000b273357e00856edd412a59fe734f
Romantic Rewind,Akhil,2022-02-09,38,1084056,single,0.49,0.47,0.42,0.53,Intense / Angsty,https://open.spotify.com/search/Romantic%20Rewind%20Akhil,https://i.scdn.co/image/ab67616d0000b273aa442efd8bb9b3b9521d0549
"Bewafai Kar Gaya - From ""Lekh""",B Praak,2022-03-20,53,228000,single,0.47,0.5,0.55,0.48,Intense / Angsty,https://open.spotify.com/search/Bewafai%20Kar%20Gaya%20-%20From%20%22Lekh%22%20B%20Praak,https://i.scdn.co/image/ab67616d0000b273f69d3e2c88168c9cbfecbf58
Romantic Mashup,Miss Pooja,2020-02-13,38,251280,single,0.52,0.58,0.62,0.32,Energetic / Party,https://open.spotify.com/search/Romantic%20Mashup%20Miss%20Pooja,https://i.scdn.co/image/ab67616d0000b273bba7f019bc7fd87904517e2e
Pehla Valentine,Himmat Sandhu,2021-04-30,42,173048,single,0.64,0.5,0.53,0.35,Happy / Upbeat,https://open.spotify.com/search/Pehla%20Valentine%20Himmat%20Sandhu,https://i.scdn.co/image/ab67616d0000b27360a2c699fae9a68b80c189f1
Valentine Mashup 2022,Akhil,2022-02-14,35,249618,single,0.49,0.56,0.75,0.2,Intense / Angsty,https://open.spotify.com/search/Valentine%20Mashup%202022%20Akhil,https://i.scdn.co/image/ab67616d0000b273b067547333e57bd30cdb5736
Feelingaa,Kay Vee Singh,2019-12-23,36,171007,single,0.51,0.45,0.45,0.38,Mellow / Reflective,https://open.spotify.com/search/Feelingaa%20Kay%20Vee%20Singh,https://i.scdn.co/image/ab67616d0000b2736e1ab5f8852848ad2b90db6e
Love Like Me,Jassa Dhillon,2021-03-22,52,160000,album,0.64,0.44,0.57,0.38,Romantic / Warm,https://open.spotify.com/search/Love%20Like%20Me%20Jassa%20Dhillon,https://i.scdn.co/image/ab67616d0000b27362857f70b2c7244833dff65f
Beliya,B Praak,2022-03-25,58,226265,single,0.65,0.4,0.58,0.31,Romantic / Warm,https://open.spotify.com/search/Beliya%20B%20Praak,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722
Soulmate,Akull,2021-09-07,37,184681,single,0.52,0.5,0.56,0.39,Energetic / Party,https://open.spotify.com/search/Soulmate%20Akull,https://i.scdn.co/image/ab67616d0000b273a71b5aafbfc9fb2d2ed9241a
"Pyar Karda - From ""Lover""",Jass Manak,2022-05-26,39,211224,single,0.61,0.49,0.54,0.35,Happy / Upbeat,https://open.spotify.com/search/Pyar%20Karda%20-%20From%20%22Lover%22%20Jass%20Manak,https://i.scdn.co/image/ab67616d0000b273c31a9ef87338c639a6444551
Daring Love,Varinder Brar,2019-11-01,41,242857,single,0.48,0.39,0.56,0.42,Melancholic / Heartbroken,https://open.spotify.com/search/Daring%20Love%20Varinder%20Brar,https://i.scdn.co/image/ab67616d0000b273e305d898ae14ec999434cb4e
Valentine Mashup 2020,B Praak,2020-02-11,27,185800,single,0.51,0.54,0.74,0.27,Energetic / Party,https://open.spotify.com/search/Valentine%20Mashup%202020%20B%20Praak,https://i.scdn.co/image/ab67616d0000b273981632dd129a2ae0a1cfe8a4
"Marke - From ""Lover""",Jass Manak,2022-06-27,36,166833,single,0.61,0.41,0.6,0.36,Romantic / Warm,https://open.spotify.com/search/Marke%20-%20From%20%22Lover%22%20Jass%20Manak,https://i.scdn.co/image/ab67616d0000b273914b03f4b65228bb80d6f980
Love Mix Remix Mashup,Prabh Gill,2022-04-09,25,285094,single,0.61,0.86,0.95,0.07,Happy / Upbeat,https://open.spotify.com/search/Love%20Mix%20Remix%20Mashup%20Prabh%20Gill,https://i.scdn.co/image/ab67616d0000b273db403ca729ff11cff27db840
The Ultimate Love Mashup - DJ Kiran Kamath,Jaani,2022-02-08,32,307573,single,0.61,0.85,0.95,0.05,Happy / Upbeat,https://open.spotify.com/search/The%20Ultimate%20Love%20Mashup%20-%20DJ%20Kiran%20Kamath%20Jaani,https://i.scdn.co/image/ab67616d0000b273d01d9e4587fb7038eceffca1
Bewafai Kar Gaya,B Praak,2022-03-25,39,228000,single,0.4,0.37,0.54,0.45,Melancholic / Heartbroken,https://open.spotify.com/search/Bewafai%20Kar%20Gaya%20B%20Praak,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722
Bewafaai,B Praak,2019-10-22,29,322285,album,0.44,0.39,0.43,0.43,Melancholic / Heartbroken,https://open.spotify.com/search/Bewafaai%20B%20Praak,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c
Chaal,Lovie Virk,2021-01-06,47,210658,single,0.58,0.4,0.59,0.38,Romantic / Warm,https://open.spotify.com/search/Chaal%20Lovie%20Virk,https://i.scdn.co/image/ab67616d0000b27314e14a6503fc604ae8c67ddd
Love Forever,Lakhi Ghuman,2021-11-24,37,183079,single,0.65,0.43,0.5,0.41,Romantic / Warm,https://open.spotify.com/search/Love%20Forever%20Lakhi%20Ghuman,https://i.scdn.co/image/ab67616d0000b273778bcaa30b3668cc50892016
Proposal,Mehtab Virk,2013-06-20,42,273407,album,0.51,0.41,0.52,0.42,Mellow / Reflective,https://open.spotify.com/search/Proposal%20Mehtab%20Virk,https://i.scdn.co/image/ab67616d0000b273fc41f00a5aa81b288e15a99e
Fuck Love,Real Boss,2022-03-15,40,162905,single,0.47,0.48,0.59,0.43,Intense / Angsty,https://open.spotify.com/search/Fuck%20Love%20Real%20Boss,https://i.scdn.co/image/ab67616d0000b27366b43c623661b09087895ea4
Paagla,Akhil,2021-06-26,46,223783,single,0.46,0.4,0.49,0.4,Melancholic / Heartbroken,https://open.spotify.com/search/Paagla%20Akhil,https://i.scdn.co/image/ab67616d0000b273ea87a23a8b8c939acceb5a35
Kasam,Hashmat Sultana,2022-06-29,36,230522,compilation,0.58,0.38,0.52,0.3,Romantic / Warm,https://open.spotify.com/search/Kasam%20Hashmat%20Sultana,https://i.scdn.co/image/ab67616d0000b2733a8be0cae8dd8c150c626d2d
Heerey,Amrinder Gill,2016-03-07,44,204978,album,0.44,0.43,0.42,0.39,Melancholic / Heartbroken,https://open.spotify.com/search/Heerey%20Amrinder%20Gill,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9
"Rabb Khair Kare (From ""Daana Paani"" Soundtrack)",Prabh Gill,2018-04-19,46,184000,single,0.45,0.44,0.5,0.49,Melancholic / Heartbroken,https://open.spotify.com/search/Rabb%20Khair%20Kare%20%28From%20%22Daana%20Paani%22%20Soundtrack%29%20Prabh%20Gill,https://i.scdn.co/image/ab67616d0000b2735c30005b07efd927287a1bea
Ishqaa,Akhil,2019-02-13,35,321004,album,0.57,0.39,0.52,0.37,Romantic / Warm,https://open.spotify.com/search/Ishqaa%20Akhil,https://i.scdn.co/image/ab67616d0000b273fdf60edf667e751276524fde
Pyar Paun to Pehlan,Labh Heera,2020-07-18,37,256765,album,0.5,0.5,0.54,0.39,Energetic / Party,https://open.spotify.com/search/Pyar%20Paun%20to%20Pehlan%20Labh%20Heera,https://i.scdn.co/image/ab67616d0000b27303a6d19fa3b5e0f47b23f29c
True Love,Rupal J,2019-12-20,11,274311,compilation,0.58,0.47,0.48,0.3,Happy / Upbeat,https://open.spotify.com/search/True%20Love%20Rupal%20J,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Intense Love,Jack Love,2022-09-14,36,133053,single,0.62,0.43,0.57,0.33,Romantic / Warm,https://open.spotify.com/search/Intense%20Love%20Jack%20Love,https://i.scdn.co/image/ab67616d0000b273c4ca87612c74d9fd45fd5aee
Intense Love,Chandra Brar,2022-02-01,33,164651,single,0.58,0.52,0.54,0.38,Happy / Upbeat,https://open.spotify.com/search/Intense%20Love%20Chandra%20Brar,https://i.scdn.co/image/ab67616d0000b2731a4d6d007730d4620e3b16e3
"Kahani (From ""Kahani"")",Lo Jill,2014-04-24,11,194595,compilation,0.41,0.39,0.46,0.36,Melancholic / Heartbroken,https://open.spotify.com/search/Kahani%20%28From%20%22Kahani%22%29%20Lo%20Jill,https://i.scdn.co/image/ab67616d0000b273ce9ec0de8ce8721afa7a5a4c
Love,Garry Sandhu,2017-11-21,22,225241,single,0.61,0.39,0.56,0.39,Romantic / Warm,https://open.spotify.com/search/Love%20Garry%20Sandhu,https://i.scdn.co/image/ab67616d0000b273de48ccb0c5c22b8b914bb7ce
Punjab Bolda,Ranjit Bawa,2020-12-08,35,307788,single,0.48,0.42,0.44,0.37,Melancholic / Heartbroken,https://open.spotify.com/search/Punjab%20Bolda%20Ranjit%20Bawa,https://i.scdn.co/image/ab67616d0000b2731bdf59d464c4243a81a22414
"Dil Taan Pagal-Je Tu Na (From ""T-Series Mixtape Punjabi"")",Akhil Sachdeva,2019-09-03,33,291503,compilation,0.43,0.65,0.63,0.21,Intense / Angsty,https://open.spotify.com/search/Dil%20Taan%20Pagal-Je%20Tu%20Na%20%28From%20%22T-Series%20Mixtape%20Punjabi%22%29%20Akhil%20Sachdeva,https://i.scdn.co/image/ab67616d0000b273dc9563139ebc2a5597254664
